t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681586533.1349812, -3.2, -5.944143e-06, -1.87147e-06, 6.057889e-06, 199.3347, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586538.8332648, 3.2, -1.190308e-05, -2.054178e-06, 1.263293e-05, 188.6371, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0166017, 0.41852, 0.966
1681586544.5399845, -3.2, -5.65168e-06, -1.944553e-06, 5.999713e-06, 199.5513, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586550.2385983, 3.2, -1.109881e-05, -1.87147e-06, 1.143112e-05, 189.7977, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586555.9596643, -3.2, -5.103311e-06, -1.981095e-06, 5.623927e-06, 199.847, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586561.6522245, 3.2, -1.157406e-05, -1.944553e-06, 1.177842e-05, 189.3298, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586567.3549938, -3.2, -5.615122e-06, -1.981095e-06, 6.104429e-06, 198.8733, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586573.0561616, 3.2, -1.08429e-05, -1.908012e-06, 1.139971e-05, 189.0367, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586578.7512565, -3.2, -4.810848e-06, -1.87147e-06, 4.900154e-06, 202.3817, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586584.4755685, 3.2, -1.182997e-05, -1.87147e-06, 1.239149e-05, 189.1132, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586590.1952677, -3.2, -5.871027e-06, -1.944553e-06, 6.161637e-06, 198.9977, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586595.8836603, 3.2, -1.241489e-05, -1.944553e-06, 1.226052e-05, 189.1132, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
1681586601.6120062, -3.2, -6.748417e-06, -1.87147e-06, 6.441352e-06, 197.7842, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
