t,i,temp_desired,temp_tc,temp_therm
1681775665.0409276,21.658024929501853,0.028236502612216566,21.6042575(1006.30487, 15.358524698718266)
1681775670.0464897,21.741449422178903,0.060574164505214634,21.6286468(1006.45673, 15.40980040742018)
1681775675.0534635,21.82494181249364,0.08630183045992525,21.6685295(1006.59192, 15.455444381562646)
1681775680.053724,21.908253092108406,0.11867888757001911,21.6976184(1006.71936, 15.498469072174862)
1681775685.0537107,21.99176864876175,0.1458547934876384,21.739439(1006.85394, 15.543901473668793)
1681775690.0781462,22.075298653580983,0.18492224973678062,21.7605705(1006.9967, 15.592092183200542)
1681775695.0722947,22.158588745731354,0.2134104019552495,21.8045845(1007.15167, 15.644400885159572)
1681775700.0943265,22.242255265055338,0.24028543189103158,21.8539733(1007.30334, 15.69559200358351)
1681775705.087769,22.325723734039308,0.26131405998872803,21.9159393(1007.47797, 15.754527968710878)
1681775710.0891807,22.409070867834725,0.2881180285823064,21.9677448(1007.65381, 15.813867398416976)
1681775715.1082568,22.492636691071827,0.30883158806894556,22.0329418(1007.84534, 15.878496024936947)
1681775720.1322892,22.57641681287511,0.3297525938405015,22.0989036(1008.05243, 15.948368557004668)
1681775725.1458309,22.659737923282623,0.33819293212632395,22.1888866(1008.27954, 16.024988039940318)
1681775730.1321015,22.743071924187976,0.3442354681836995,22.2831325(1008.53003, 16.10948567061055)
1681775735.1635451,22.82674401853307,0.3444587508358657,22.3883438(1008.79443, 16.198664746768927)
1681775740.1590087,22.91002110097631,0.3384239195818933,22.503992(1009.06696, 16.290574367727007)
1681775745.1737733,22.993537583488465,0.3245317379251823,22.6333045(1009.36139, 16.38985643357466)
1681775750.1626687,23.076963947751363,0.3080573483982418,22.7653121(1009.67572, 16.495833626983984)
1681775755.1848488,23.16043876661682,0.2809251294963917,22.9153079(1009.99988, 16.605108629001354)
1681775760.2002916,23.24405449483617,0.23998169922055906,23.0886077(1010.3266, 16.715229767623708)
1681775765.229802,23.328081371921538,0.20125976955019018,23.2538261(1010.66803, 16.830290857368595)
1681775770.188395,23.410725258328753,0.15645348785931126,23.4253578(1011.00958, 16.945373926504825)
1681775775.2168353,23.494287727811177,0.11334031011788209,23.5903301(1011.3446, 17.058238825401123)
1681775780.2284515,23.57780483021164,0.08409914055581913,23.7249488(1011.68207, 17.17191116235246)
1681775785.2254949,23.661120011943815,0.05019365672050133,23.865839(1012.01294, 17.28334290116408)
1681775790.2528503,23.744876299836477,0.023065587230726936,23.9914817(1012.32672, 17.389003023111126)
1681775795.2644215,23.828422016440072,0,24.1233539(1012.62213, 17.488463149060316)
1681775800.26358,23.911738000848132,0,24.2167091(1012.91229, 17.586142269478394)
1681775805.2823424,23.99537902925237,0,24.2794723(1013.17712, 17.675282733769823)
1681775810.284429,24.078721950986225,0,24.3553123(1013.42566, 17.75893000312137)
1681775815.285507,24.16213864737574,0,24.3988723(1013.64526, 17.83282927950705)
1681775820.2958338,24.24558521761322,0.01040615780514631,24.4379024(1013.86401, 17.9064349592816)
1681775825.2837965,24.328979049661,0.03195235257056195,24.4710979(1014.03986, 17.96560004695403)
1681775830.3395085,24.413235857624052,0.0540446753488289,24.5064506(1014.21667, 18.0250832174555)
1681775835.31549,24.495921260653176,0.08194476561282248,24.5315647(1014.39276, 18.084319269273447)
1681775840.3272674,24.579421673753103,0.11524231650661426,24.5499439(1014.5246, 18.128666581921195)
1681775845.313838,24.66282073511505,0.15531276556546406,24.558422(1014.67493, 18.179230078126153)
1681775850.33484,24.74629600697581,0.1958494702882746,24.5696811(1014.8092, 18.224388786164045)
1681775855.3372412,24.82965547098541,0.2343834715677109,24.5880527(1014.95081, 18.27201306515892)
1681775860.3228502,24.912951146104177,0.26262257527969846,24.6290645(1015.09644, 18.320986003428146)
1681775865.3343422,24.996339216369627,0.29793837082166297,24.6587028(1015.20013, 18.355853186547236)
1681775870.3568444,25.07993812415822,0.33056564709785446,24.6962909(1015.37274, 18.413891913819434)
