t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336911.6739104,442.3,8.84,0.1,0.001211547,2.869087e-06,0.001204253,359.7888,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336915.743136,442.3,8.89,0.1,0.001207891,6.523243e-06,0.00121155,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336919.8144846,442.3,8.94,0.1,0.001207891,6.523243e-06,0.001207894,359.7901,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336923.8762643,442.3,8.99,0.1,0.001207891,2.869087e-06,0.001204235,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336927.948949,442.3,9.05,0.1,0.001207891,2.869087e-06,0.001211547,0.1360936,-0.0986562,-0.00164796,-0.014618,-179.046
1681336932.0165117,442.3,9.1,0.1,0.001207891,2.869087e-06,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336936.077839,442.3,9.15,0.1,0.001204235,2.869087e-06,0.001207894,359.9626,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336940.1297014,442.3,9.2,0.1,0.001207891,-4.439225e-06,0.001204253,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336944.18908,442.3,9.25,0.1,0.001207891,2.869087e-06,0.001204253,0.1360936,-0.0986638,-0.00164033,-0.0146104,-179.046
1681336948.2480936,442.3,9.3,0.1,0.001204235,2.869087e-06,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336952.3069413,442.3,9.35,0.1,0.001207891,-7.850687e-07,0.001207909,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336956.3819108,442.3,9.4,0.1,0.001211547,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336960.452329,442.3,9.45,0.1,0.001207891,-7.850687e-07,0.001204239,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
