t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681347233.1141942,-1.6666666666666667,442.3,0.97,0.01,0.009598716,1.147635e-05,0.009613374,359.9813,0,0,0,0
1681347236.6423483,-1.6666666666666667,442.3,1.0,0.01,0.009598716,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681347240.1884613,-1.6666666666666667,442.3,1.0,0.01,0.009598716,-1.77569e-05,0.009613374,0.1555144,0,0,0,0
1681347243.7324533,-1.6666666666666667,442.3,0.97,0.01,0.00961334,1.147635e-05,0.009598716,0.1557514,0,0,0,0
1681347247.2876885,-1.6666666666666667,442.3,0.95,0.01,0.009598716,2.609297e-05,0.009598723,0.1557514,0,0,0,0
1681347250.8341784,-1.6666666666666667,442.3,0.92,0.01,0.009598716,1.147635e-05,0.009598751,0.1555144,0,0,0,0
1681347254.386642,-1.6666666666666667,442.3,0.9,0.01,0.009598716,2.609297e-05,0.009613374,0.2429985,0,0,0,0
1681347257.9368174,-1.6666666666666667,442.3,0.87,0.01,0.009598716,1.147635e-05,0.0095841,359.9812,0,0,0,0
1681347261.48393,-1.6666666666666667,442.3,0.85,0.01,0.00961334,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681347265.0497127,-1.6666666666666667,442.3,0.82,0.01,0.00961334,1.147635e-05,0.009598751,0.1557514,0,0,0,0
1681347268.6039495,-1.6666666666666667,442.3,0.79,0.01,0.009598716,1.147635e-05,0.009598751,0.06850353,0,0,0,0
1681347272.1390994,-1.6666666666666667,442.3,0.77,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681347275.6925309,-1.6666666666666667,442.3,0.74,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347279.2467983,-1.6666666666666667,442.3,0.72,0.01,0.00961334,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681347282.806682,-1.6666666666666667,442.3,0.69,0.01,0.009598716,-1.77569e-05,0.009598716,359.9813,0,0,0,0
1681347286.372608,-1.6666666666666667,442.3,0.67,0.01,0.009598716,-3.140275e-06,0.009584094,0.06850353,0,0,0,0
1681347289.9302878,-1.6666666666666667,442.3,0.64,0.01,0.009598716,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681347293.4513187,-1.6666666666666667,442.3,0.62,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347297.0115883,-1.6666666666666667,442.3,0.59,0.01,0.009598716,-3.140275e-06,0.009598716,359.9812,0,0,0,0
1681347300.5550225,-1.6666666666666667,442.3,0.56,0.01,0.009584093,1.147635e-05,0.009598723,0.06850353,0,0,0,0
